date,open_t,close_x,close_y
2024-02-15,40140,388.25,149.916
2024-02-16,39900,386.19,150.167
2024-02-20,39660,385.69,150.002
2024-02-21,40250,386.05,150.274
2024-02-23,40820,391.28,150.49
2024-02-26,40720,390.71,150.695
2024-02-27,40720,389.66,150.497
2024-02-28,40420,389.6,150.678
2024-02-29,40810,389.95,149.963
2024-03-01,41800,391.31,150.069
2024-03-04,41470,390.23,150.519
2024-03-05,41340,386.19,150.038
2024-03-06,41930,387.18,149.393
2024-03-07,41210,388.45,148.035
2024-03-08,40500,387.99,147.028
2024-03-11,39960,388.42,146.937
2024-03-12,40670,390.79,147.64
2024-03-13,40060,391.22,147.75
2024-03-14,39990,390.07,148.302
2024-03-15,40450,387.0,149.037
2024-03-18,41070,387.73,149.137
2024-03-20,42150,394.99,151.247
2024-03-21,42550,397.75,151.615
2024-03-22,42330,394.53,151.3962
2024-03-25,41920,392.95,151.403
2024-03-26,42030,392.85,151.563
2024-03-27,42190,397.56,151.322
2024-03-28,42120,397.76,151.378
2024-04-01,41690,395.33,151.633
2024-04-02,41280,391.63,151.542
2024-04-03,41800,391.26,151.682
2024-04-04,40900,386.02,151.328
2024-04-05,41130,388.86,151.6144
2024-04-08,41240,389.1,151.792
2024-04-09,41350,388.84,151.735
2024-04-10,40790,384.51,153.137
2024-04-11,41480,384.54,153.262
2024-04-12,40760,379.87,153.22
2024-04-15,40400,377.31,154.261
2024-04-16,40340,377.98,154.688
2024-04-17,39440,377.45,154.379
2024-04-18,39320,377.84,154.637
2024-04-19,38850,379.8,154.6213
2024-04-22,39460,382.37,154.838
2024-04-23,39700,385.02,154.821
2024-04-24,39580,384.44,155.336
2024-04-25,39450,380.92,155.642
2024-04-29,40050,383.8,156.336
2024-04-30,39760,378.13,157.785
2024-05-01,39730,378.89,154.599
2024-05-06,40610,388.45,153.885
2024-05-07,40400,388.74,154.671
2024-05-08,39980,390.48,155.485
2024-05-09,40170,394.0,155.461
2024-05-10,39880,395.18,155.7279
2024-05-13,39960,394.46,156.2
2024-05-14,40340,395.58,156.414
2024-05-15,40480,399.28,154.873
2024-05-16,40310,399.21,155.387
2024-05-17,40480,399.95,155.6418
2024-05-20,41040,398.1,156.237
2024-05-21,40630,398.78,156.159
2024-05-22,40620,396.66,156.744
2024-05-23,40150,390.66,156.889
2024-05-24,40490,390.64,156.9869
2024-05-28,40600,388.6,157.141
2024-05-29,39760,384.58,157.625
2024-05-30,39810,381.48,156.804
2024-05-31,40470,387.53,157.2996
2024-06-03,40390,386.24,156.03
2024-06-04,40280,387.51,154.85
2024-06-05,40720,388.53,156.12
2024-06-06,40350,389.33,155.58
2024-06-07,40380,388.49,156.7214
2024-06-10,40890,389.29,156.994
2024-06-11,40620,387.97,157.119
2024-06-12,40990,387.69,156.735
2024-06-13,40310,386.88,156.967
2024-06-14,40160,386.46,157.3752
2024-06-17,40140,388.58,157.696
2024-06-18,40350,389.14,157.85
2024-06-20,40330,392.07,158.906
2024-06-21,40190,391.34,159.7897
2024-06-24,40490,393.98,159.606
2024-06-25,41130,391.02,159.643
2024-06-26,41150,391.24,160.783
