2024/6/29 7:01:54
      date predic actual  diff   acc
2024-02-21 100.06 101.49  1.43  1.43
2024-02-23 100.71 101.42  0.70  2.12
2024-02-26  99.92  99.76 -0.17  1.96
2024-02-27  99.85 100.00  0.15  2.10
2024-02-28 100.00  99.26 -0.74  1.37
2024-02-29 100.08 100.96  0.89  2.26
2024-03-01 100.21 102.43  2.21  4.47
2024-03-04  99.84  99.21 -0.63  3.84
2024-03-05  99.35  99.69  0.33  4.18
2024-03-06 100.17 101.43  1.26  5.43
2024-03-07 100.22  98.28 -1.93  3.50
2024-03-08  99.96  98.28 -1.68  1.82
2024-03-11 100.08  98.67 -1.41  0.41
2024-03-12 100.34 101.78  1.43  1.84
2024-03-13 100.07  98.50 -1.57  0.27
2024-03-14  99.82  99.83  0.00  0.27
2024-03-15  99.50 101.15  1.66  1.92
2024-03-18 100.12 101.53  1.41  3.34
2024-03-20 100.92 102.63  1.70  5.03
2024-03-21 100.39 100.95  0.56  5.59
2024-03-22  99.50  99.48 -0.02  5.57
2024-03-25  99.77  99.03 -0.74  4.83
2024-03-26  99.99 100.26  0.27  5.10
2024-03-27 100.65 100.38 -0.27  4.83
2024-03-28 100.04  99.83 -0.21  4.63
2024-04-01  99.63  98.98 -0.65  3.97
2024-04-02  99.42  99.02 -0.40  3.57
2024-04-03  99.95 101.26  1.31  4.88
2024-04-04  99.13  97.85 -1.30  3.58
2024-04-05 100.41 100.56  0.15  3.73
2024-04-08 100.04 100.27  0.22  3.96
2024-04-09  99.97 100.27  0.29  4.25
2024-04-10  99.26  98.65 -0.62  3.63
2024-04-11 100.01 101.69  1.68  5.31
2024-04-12  99.22  98.26 -0.96  4.35
2024-04-15  99.57  99.12 -0.46  3.89
2024-04-16 100.11  99.85 -0.26  3.64
2024-04-17  99.93  97.77 -2.17  1.47
2024-04-18 100.07  99.70 -0.37  1.10
2024-04-19 100.30  98.80 -1.49 -0.39
2024-04-22 100.38 101.57  1.18  0.79
2024-04-23 100.39 100.61  0.21  1.00
2024-04-24  99.91  99.70 -0.22  0.79
2024-04-25  99.42  99.67  0.25  1.04
2024-04-29 100.42 101.52  1.10  2.14
2024-04-30  98.99  99.28  0.29  2.43
2024-05-01 100.18  99.92 -0.25  2.18
Mean Absolute Error: 0.83%
Epoch: 500000 BatchSize: 47 FinalLSM: 0.00242
Norm: 42.95
===
      date predic actual  diff   acc
2024-02-23 100.89 101.42  0.53  0.53
2024-02-26  99.91  99.76 -0.16  0.37
2024-02-27  99.83 100.00  0.17  0.53
2024-02-28 100.01  99.26 -0.75 -0.22
2024-02-29 100.12 100.96  0.85  0.63
2024-03-01 100.28 102.43  2.14  2.77
2024-03-04  99.81  99.21 -0.60  2.18
2024-03-05  99.19  99.69  0.50  2.68
2024-03-06 100.23 101.43  1.19  3.87
2024-03-07 100.30  98.28 -2.01  1.86
2024-03-08  99.97  98.28 -1.70  0.16
2024-03-11 100.11  98.67 -1.45 -1.29
2024-03-12 100.43 101.78  1.34  0.05
2024-03-13 100.11  98.50 -1.61 -1.55
2024-03-14  99.79  99.83  0.04 -1.52
2024-03-15  99.37 101.15  1.79  0.28
2024-03-18 100.16 101.53  1.37  1.64
2024-03-20 101.11 102.63  1.50  3.15
2024-03-21 100.50 100.95  0.45  3.59
2024-03-22  99.38  99.48  0.10  3.69
2024-03-25  99.72  99.03 -0.69  3.00
2024-03-26 100.01 100.26  0.26  3.26
2024-03-27 100.81 100.38 -0.43  2.83
2024-03-28 100.07  99.83 -0.23  2.60
2024-04-01  99.54  98.98 -0.56  2.04
2024-04-02  99.27  99.02 -0.25  1.79
2024-04-03  99.96 101.26  1.30  3.09
2024-04-04  98.89  97.85 -1.06  2.03
2024-04-05 100.52 100.56  0.04  2.07
2024-04-08 100.07 100.27  0.20  2.27
2024-04-09  99.98 100.27  0.28  2.55
2024-04-10  99.04  98.65 -0.40  2.15
2024-04-11 100.03 101.69  1.66  3.81
2024-04-12  99.00  98.26 -0.75  3.06
2024-04-15  99.46  99.12 -0.34  2.72
2024-04-16 100.15  99.85 -0.29  2.43
2024-04-17  99.93  97.77 -2.17  0.26
2024-04-18 100.10  99.70 -0.40 -0.14
2024-04-19 100.39  98.80 -1.58 -1.72
2024-04-22 100.49 101.57  1.08 -0.65
2024-04-23 100.50 100.61  0.10 -0.54
2024-04-24  99.90  99.70 -0.20 -0.75
2024-04-25  99.27  99.67  0.40 -0.34
2024-04-29 100.53 101.52  0.99  0.65
2024-04-30  98.68  99.28  0.60  1.25
2024-05-01 100.26  99.92 -0.34  0.91
2024-05-06 101.46 102.21  0.75  1.66
Mean Absolute Error: 0.8%
Epoch: 500000 BatchSize: 47 FinalLSM: 0.00227
Norm: 60.50
===
      date predic actual  diff   acc
2024-02-26  99.89  99.76 -0.14 -0.14
2024-02-27  99.82 100.00  0.18  0.05
2024-02-28  99.98  99.26 -0.72 -0.67
2024-02-29 100.09 100.96  0.88  0.20
2024-03-01 100.23 102.43  2.19  2.40
2024-03-04  99.79  99.21 -0.58  1.82
2024-03-05  99.23  99.69  0.46  2.28
2024-03-06 100.20 101.43  1.23  3.51
2024-03-07 100.27  98.28 -1.98  1.53
2024-03-08  99.96  98.28 -1.68 -0.15
2024-03-11 100.08  98.67 -1.41 -1.56
2024-03-12 100.37 101.78  1.40 -0.16
2024-03-13 100.07  98.50 -1.57 -1.73
2024-03-14  99.77  99.83  0.06 -1.68
2024-03-15  99.38 101.15  1.78  0.11
2024-03-18 100.12 101.53  1.41  1.51
2024-03-20 101.01 102.63  1.60  3.12
2024-03-21 100.44 100.95  0.51  3.63
2024-03-22  99.40  99.48  0.08  3.71
2024-03-25  99.71  99.03 -0.68  3.02
2024-03-26  99.98 100.26  0.29  3.31
2024-03-27 100.74 100.38 -0.35  2.96
2024-03-28 100.03  99.83 -0.20  2.76
2024-04-01  99.54  98.98 -0.56  2.19
2024-04-02  99.29  99.02 -0.28  1.91
2024-04-03  99.93 101.26  1.33  3.25
2024-04-04  98.96  97.85 -1.12  2.12
2024-04-05 100.46 100.56  0.10  2.23
2024-04-08 100.04 100.27  0.23  2.46
2024-04-09  99.96 100.27  0.31  2.77
2024-04-10  99.07  98.65 -0.43  2.34
2024-04-11 100.00 101.69  1.69  4.03
2024-04-12  99.05  98.26 -0.80  3.23
2024-04-15  99.46  99.12 -0.34  2.89
2024-04-16 100.11  99.85 -0.25  2.64
2024-04-17  99.91  97.77 -2.15  0.49
2024-04-18 100.06  99.70 -0.37  0.13
2024-04-19 100.34  98.80 -1.53 -1.40
2024-04-22 100.43 101.57  1.14 -0.27
2024-04-23 100.45 100.61  0.16 -0.10
2024-04-24  99.88  99.70 -0.18 -0.28
