Mon Jul  1 00:43:54 UTC 2024
         date  predic  actual  diff   acc
0  2024-02-21  100.04  101.49  1.45  1.45
1  2024-02-23  100.16  101.42  1.25  2.70
2  2024-02-26  100.01   99.76 -0.25  2.45
3  2024-02-27   99.97  100.00  0.03  2.48
4  2024-02-28  100.02   99.26 -0.76  1.72
5  2024-02-29   99.97  100.96  1.00  2.72
6  2024-03-01  100.05  102.43  2.37  5.09
7  2024-03-04  100.01   99.21 -0.80  4.29
8  2024-03-05   99.87   99.69 -0.18  4.11
9  2024-03-06   99.99  101.43  1.44  5.55
10 2024-03-07   99.95   98.28 -1.67  3.88
11 2024-03-08   99.92   98.28 -1.65  2.23
12 2024-03-11  100.01   98.67 -1.35  0.88
13 2024-03-12  100.12  101.78  1.65  2.53
14 2024-03-13  100.03   98.50 -1.53  1.00
15 2024-03-14  100.02   99.83 -0.19  0.81
16 2024-03-15   99.98  101.15  1.17  1.98
17 2024-03-18  100.04  101.53  1.50  3.48
18 2024-03-20  100.35  102.63  2.27  5.75
19 2024-03-21  100.11  100.95  0.84  6.59
20 2024-03-22   99.91   99.48 -0.43  6.16
21 2024-03-25   99.97   99.03 -0.94  5.22
22 2024-03-26  100.02  100.26  0.25  5.47
23 2024-03-27  100.12  100.38  0.26  5.73
24 2024-03-28  100.02   99.83 -0.18  5.55
25 2024-04-01   99.96   98.98 -0.98  4.57
26 2024-04-02   99.90   99.02 -0.89  3.68
27 2024-04-03  100.01  101.26  1.25  4.93
28 2024-04-04   99.84   97.85 -2.00  2.93
29 2024-04-05  100.11  100.56  0.46  3.39
30 2024-04-08  100.03  100.27  0.24  3.63
31 2024-04-09  100.00  100.27  0.27  3.90
32 2024-04-10   99.99   98.65 -1.34  2.56
33 2024-04-11  100.02  101.69  1.67  4.23
34 2024-04-12   99.88   98.26 -1.62  2.61
35 2024-04-15  100.01   99.12 -0.89  1.72
36 2024-04-16  100.06   99.85 -0.20  1.52
37 2024-04-17   99.97   97.77 -2.20 -0.68
38 2024-04-18  100.04   99.70 -0.34 -1.02
39 2024-04-19  100.06   98.80 -1.26 -2.28
40 2024-04-22  100.09  101.57  1.47 -0.81
41 2024-04-23  100.08  100.61  0.53 -0.28
42 2024-04-24  100.03   99.70 -0.33 -0.61
43 2024-04-25   99.93   99.67 -0.26 -0.87
44 2024-04-29  100.13  101.52  1.38  0.51
45 2024-04-30   99.95   99.28 -0.68 -0.17
46 2024-05-01   99.82   99.92  0.11 -0.06
Mean Absolute Error: 0.97%
Epoch: 609, Final Loss: 0.000128
Norm: 25.03
===
         date  predic  actual  diff   acc
0  2024-02-23  100.23  101.42  1.18  1.18
1  2024-02-26  100.02   99.76 -0.26  0.92
2  2024-02-27   99.96  100.00  0.04  0.96
3  2024-02-28  100.03   99.26 -0.77  0.19
4  2024-02-29   99.96  100.96  1.00  1.19
5  2024-03-01  100.08  102.43  2.35  3.54
6  2024-03-04  100.02   99.21 -0.81  2.73
7  2024-03-05   99.82   99.69 -0.14  2.59
8  2024-03-06   99.99  101.43  1.44  4.03
9  2024-03-07   99.93   98.28 -1.65  2.38
10 2024-03-08   99.90   98.28 -1.63  0.75
11 2024-03-11  100.02   98.67 -1.36 -0.61
12 2024-03-12  100.18  101.78  1.60  0.99
13 2024-03-13  100.04   98.50 -1.54 -0.55
14 2024-03-14  100.03   99.83 -0.20 -0.75
15 2024-03-15   99.98  101.15  1.17  0.42
16 2024-03-18  100.05  101.53  1.48  1.90
17 2024-03-20  100.49  102.63  2.13  4.03
18 2024-03-21  100.15  100.95  0.79  4.82
19 2024-03-22   99.88   99.48 -0.40  4.42
20 2024-03-25   99.96   99.03 -0.93  3.49
21 2024-03-26  100.03  100.26  0.23  3.72
22 2024-03-27  100.17  100.38  0.21  3.93
23 2024-03-28  100.03   99.83 -0.20  3.73
24 2024-04-01   99.95   98.98 -0.98  2.75
25 2024-04-02   99.87   99.02 -0.86  1.89
26 2024-04-03  100.02  101.26  1.24  3.13
27 2024-04-04   99.79   97.85 -1.95  1.18
28 2024-04-05  100.15  100.56  0.41  1.59
29 2024-04-08  100.04  100.27  0.22  1.81
30 2024-04-09  100.00  100.27  0.26  2.07
31 2024-04-10   99.99   98.65 -1.35  0.72
32 2024-04-11  100.03  101.69  1.66  2.38
33 2024-04-12   99.84   98.26 -1.58  0.80
34 2024-04-15  100.02   99.12 -0.90 -0.10
35 2024-04-16  100.08   99.85 -0.23 -0.33
36 2024-04-17   99.97   97.77 -2.20 -2.53
37 2024-04-18  100.06   99.70 -0.36 -2.89
38 2024-04-19  100.09   98.80 -1.29 -4.18
39 2024-04-22  100.14  101.57  1.43 -2.75
40 2024-04-23  100.12  100.61  0.49 -2.26
41 2024-04-24  100.04   99.70 -0.35 -2.61
42 2024-04-25   99.91   99.67 -0.24 -2.85
43 2024-04-29  100.19  101.52  1.33 -1.52
44 2024-04-30   99.94   99.28 -0.66 -2.18
45 2024-05-01   99.75   99.92  0.17 -2.01
46 2024-05-06  100.31  102.21  1.89 -0.12
Mean Absolute Error: 0.97%
Epoch: 429, Final Loss: 0.000127
Norm: 45.11
===
         date  predic  actual  diff   acc
0  2024-02-26   99.98   99.76 -0.22 -0.22
1  2024-02-27   99.94  100.00  0.06 -0.16
2  2024-02-28   99.99   99.26 -0.73 -0.89
3  2024-02-29   99.94  100.96  1.03  0.14
